iter	Passed	Remaining
0	155	155205
1	160	79867
2	160	53495
3	161	40309
4	166	33058
5	167	27727
6	168	23875
7	169	20970
8	171	18834
9	172	17085
10	174	15659
11	175	14441
12	178	13526
13	179	12645
14	180	11857
15	181	11177
16	183	10601
17	184	10062
18	185	9593
19	186	9149
20	187	8748
21	193	8584
22	196	8360
23	199	8118
24	202	7883
25	203	7640
26	205	7390
27	206	7162
28	208	6976
29	209	6781
30	210	6585
31	211	6402
32	213	6244
33	214	6102
34	216	5959
35	217	5814
36	218	5685
37	219	5554
38	220	5442
39	221	5325
40	223	5239
41	225	5132
42	229	5106
43	230	5005
44	231	4910
45	234	4865
46	235	4780
47	237	4700
48	237	4616
49	239	4555
50	241	4488
51	242	4426
52	243	4355
53	246	4311
54	247	4255
55	248	4191
56	250	4137
57	254	4135
58	255	4080
59	256	4019
60	257	3961
61	260	3933
62	261	3888
63	262	3840
64	266	3827
65	267	3791
66	269	3747
67	269	3698
68	271	3667
69	273	3632
70	274	3586
71	275	3549
72	277	3525
73	279	3494
74	280	3461
75	281	3421
76	283	3402
77	285	3372
78	286	3338
79	287	3305
80	288	3272
81	290	3248
82	291	3215
83	291	3183
84	293	3160
85	295	3138
86	296	3116
87	297	3086
88	298	3056
89	301	3052
90	302	3024
91	303	2996
92	304	2968
93	305	2940
94	306	2923
95	308	2904
96	309	2881
97	310	2856
98	311	2831
99	313	2817
100	314	2798
101	317	2791
102	320	2794
103	322	2776
104	323	2754
105	324	2740
106	326	2722
107	327	2701
108	327	2679
109	328	2659
110	329	2639
111	331	2628
112	333	2616
113	334	2599
114	335	2580
115	337	2570
116	338	2555
117	339	2539
118	340	2523
119	341	2504
120	343	2492
121	344	2479
122	345	2464
123	346	2447
124	347	2430
125	347	2413
126	349	2400
127	351	2391
128	351	2375
129	352	2360
130	353	2346
131	356	2342
132	357	2331
133	358	2316
134	359	2301
135	359	2286
136	361	2275
137	362	2265
138	363	2251
139	364	2237
140	364	2223
141	365	2208
142	366	2194
143	368	2190
144	369	2179
145	370	2167
146	371	2154
147	372	2142
148	373	2133
149	374	2124
150	375	2112
151	376	2100
152	377	2088
153	378	2077
154	378	2065
155	380	2056
156	381	2048
157	382	2038
158	383	2028
159	385	2021
160	386	2012
161	388	2007
162	389	1998
163	390	1992
164	392	1984
165	393	1979
166	395	1972
167	398	1973
168	399	1964
169	400	1954
170	401	1944
171	402	1935
172	405	1936
173	405	1927
174	406	1918
175	407	1908
176	408	1899
177	411	1901
178	413	1895
179	414	1887
180	418	1892
181	419	1883
182	419	1874
183	420	1865
184	424	1867
185	424	1859
186	427	1858
187	433	1871
188	435	1866
189	436	1860
190	437	1852
191	438	1845
192	441	1844
193	443	1841
194	444	1833
195	445	1826
196	448	1830
197	450	1826
198	454	1829
199	455	1820
200	456	1813
201	457	1805
202	458	1798
203	459	1793
204	460	1786
205	462	1784
206	464	1779
207	467	1778
208	468	1771
209	468	1764
210	469	1756
211	471	1753
212	472	1747
213	473	1740
214	474	1733
215	475	1726
216	477	1723
217	478	1717
218	479	1711
219	480	1703
220	485	1712
221	486	1706
222	487	1700
223	489	1695
224	490	1690
225	491	1684
226	492	1678
227	493	1671
228	494	1664
229	496	1661
230	497	1655
231	498	1649
232	500	1646
233	503	1647
234	504	1643
235	506	1638
236	507	1632
237	508	1629
238	509	1623
239	510	1617
240	511	1611
241	512	1604
242	513	1598
243	514	1594
244	516	1591
245	517	1585
246	518	1579
247	519	1574
248	521	1573
249	523	1569
250	524	1565
251	525	1559
252	527	1556
253	528	1553
254	529	1547
255	530	1541
256	531	1536
257	532	1530
258	535	1533
259	538	1532
260	541	1533
261	543	1531
262	544	1526
263	549	1531
264	550	1527
265	551	1522
266	554	1522
267	557	1521
268	563	1530
269	564	1525
270	567	1527
271	568	1522
272	570	1518
273	570	1512
274	572	1508
275	573	1504
276	574	1500
277	577	1499
278	578	1494
279	579	1489
